,,birth rate,,,,,death rate
109,GUAM,16.82,,,,SUDAN,7.66
110,INDONESIA,16.72,,,,LAOS,7.63
111,ARGENTINA,16.64,,,,COMOROS,7.57
112,AZERBAIJAN,16.64,,,,CHINA,7.53
113,TUNISIA,16.64,,,,ERITREA,7.52
114,COLOMBIA,16.47,,,,"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",7.44
115,EL SALVADOR,16.46,,,,SAINT LUCIA,7.42
116,PARAGUAY,16.37,,,,NEW ZEALAND,7.36
117,SURINAME,16.34,,,,ARGENTINA,7.33
118,TURKEY,16.33,,,,INDIA,7.32
119,TURKS AND CAICOS ISLANDS,16.13,,,,GUYANA,7.32
120,GRENADA,16.03,,,,TOGO,7.26
121,VIETNAM,15.96,,,,SAO TOME AND PRINCIPE,7.24
122,COSTA RICA,15.91,,,,LUXEMBOURG,7.24
123,ANTIGUA AND BARBUDA,15.85,,,,GHANA,7.22
124,SRI LANKA,15.85,,,,SAINT VINCENT AND THE GRENADINES,7.18
125,MALDIVES,15.75,,,,"GAMBIA, THE",7.15
126,GUYANA,15.59,,,,AUSTRALIA,7.14
127,"BAHAMAS, THE",15.5,,,,KIRIBATI,7.12
128,UNITED ARAB EMIRATES,15.43,,,,LIECHTENSTEIN,7.12
129,DOMINICA,15.41,,,,TAIWAN,7.11
130,NEW CALEDONIA,15.33,,,,SAINT KITTS AND NEVIS,7.09
131,FRENCH POLYNESIA,15.22,,,,HONG KONG,7.07
132,IRELAND,14.84,,,,AZERBAIJAN,7.07
133,LEBANON,14.59,,,,"BAHAMAS, THE",7.05
134,"KOREA, NORTH",14.52,,,,ANDORRA,6.96
135,GREENLAND,14.48,,,,MAURITIUS,6.91
136,BRAZIL,14.46,,,,KENYA,6.89
137,COOK ISLANDS,14.33,,,,SEYCHELLES,6.89
138,SEYCHELLES,14.19,,,,MADAGASCAR,6.81
139,GIBRALTAR,14.08,,,,"KOREA, SOUTH",6.75
140,ICELAND,13.91,,,,JAMAICA,6.7
141,CHILE,13.83,,,,BHUTAN,6.69
142,FAROE ISLANDS,13.77,,,,KYRGYZSTAN,6.65
143,SAINT LUCIA,13.7,,,,CYPRUS,6.62
144,BAHRAIN,13.66,,,,BRAZIL,6.58
145,ARMENIA,13.61,,,,ALBANIA,6.58
146,SAINT VINCENT AND THE GRENADINES,13.57,,,,NEPAL,6.56
147,SAINT KITTS AND NEVIS,13.5,,,,PAPUA NEW GUINEA,6.53
148,TRINIDAD AND TOBAGO,13.46,,,,BOLIVIA,6.52
149,WALLIS AND FUTUNA,13.45,,,,PAKISTAN,6.49
150,NEW ZEALAND,13.33,,,,IRELAND,6.48
151,MAURITIUS,13.29,,,,INDONESIA,6.37
152,URUGUAY,13.07,,,,MONGOLIA,6.35
153,SINT MAARTEN,13,,,,MONTSERRAT,6.3
154,ALBANIA,12.92,,,,YEMEN,6.28
155,GEORGIA,12.74,,,,ICELAND,6.28
156,ANGUILLA,12.67,,,,TAJIKISTAN,6.18
157,ARUBA,12.56,,,,SURINAME,6.13
158,UNITED STATES,12.49,,,,TURKMENISTAN,6.13
159,CHINA,12.49,,,,SRI LANKA,6.11
160,FRANCE,12.38,,,,PHILIPPINES,6.11
161,UNITED KINGDOM,12.17,,,,CABO VERDE,6.11
162,AUSTRALIA,12.15,,,,TIMOR-LESTE,6.1
163,NORWAY,12.14,,,,FIJI,6.04
164,CAYMAN ISLANDS,12.11,,,,PERU,6.01
165,MOLDOVA,12,,,,CHILE,6
166,SWEDEN,11.99,,,,TUNISIA,5.98
167,JERSEY,11.91,,,,BELIZE,5.97
168,BARBADOS,11.87,,,,IRAN,5.94
169,RUSSIA,11.6,,,,VIETNAM,5.93
170,MACEDONIA,11.55,,,,TURKEY,5.88
171,BELGIUM,11.41,,,,NAURU,5.87
172,CYPRUS,11.41,,,,EL SALVADOR,5.69
