"row.names","ID","choice","mode","modeLable","wh","wage","whCrossAge","whCrossEduY","whCrossMarriage","wageCrossAge","wageCrossEduY","wageCrossMarriage","whSquare","ySquare","whCrossWage"
"1.partTimeInc",1,FALSE,1,"partTimeInc",2.41749,1.0057304964539,58.01976,29.00988,0,24.1375319148936,12.0687659574468,0,5.8442579001,1.01149383149741,2.43134341787234
"1.fullTimeInc",1,TRUE,2,"fullTimeInc",3.94367,1.6,94.64808,47.32404,0,38.4,19.2,0,15.5525330689,2.56,6.309872
"1.lightOverTInc",1,FALSE,3,"lightOverTInc",5.26296,2.23332173913043,126.31104,63.15552,0,53.5997217391304,26.7998608695652,0,27.6987479616,4.98772599047259,11.7538829801739
"1.heavyOverTInc",1,FALSE,4,"heavyOverTInc",7.33051,3.16168421052632,175.93224,87.96612,0,75.8804210526316,37.9402105263158,0,53.7363768601,9.99624704709141,23.1767577221053
"2.partTimeInc",2,FALSE,1,"partTimeInc",2.41749,1.00180186170213,82.19466,29.00988,2.41749,34.0612632978723,12.0216223404255,1.00180186170213,5.8442579001,1.00360697010985,2.42184598264628
"2.fullTimeInc",2,TRUE,2,"fullTimeInc",3.94367,1.7,134.08478,47.32404,3.94367,57.8,20.4,1.7,15.5525330689,2.89,6.704239
"2.lightOverTInc",2,FALSE,3,"lightOverTInc",5.26296,2.22459782608696,178.94064,63.15552,5.26296,75.6363260869565,26.6951739130435,2.22459782608696,27.6987479616,4.94883548783081,11.7079693747826
"2.heavyOverTInc",2,FALSE,4,"heavyOverTInc",7.33051,3.14933388157895,249.23734,87.96612,7.33051,107.077351973684,37.7920065789474,3.14933388157895,53.7363768601,9.91830389766112,23.0862235122533
"3.partTimeInc",3,FALSE,1,"partTimeInc",2.41749,1.34696048632219,79.77717,36.26235,2.41749,44.4496960486322,20.2044072948328,1.34696048632219,5.8442579001,1.81430255171331,3.25626350607903
"3.fullTimeInc",3,TRUE,2,"fullTimeInc",3.94367,2,130.14111,59.15505,3.94367,66,30,2,15.5525330689,4,7.88734
"3.lightOverTInc",3,FALSE,3,"lightOverTInc",5.26296,2.99105590062112,173.67768,78.9444,5.26296,98.7048447204969,44.8658385093168,2.99105590062112,27.6987479616,8.94641540064041,15.7418075627329
"3.heavyOverTInc",3,FALSE,4,"heavyOverTInc",7.33051,4.2343984962406,241.90683,109.95765,7.33051,139.73515037594,63.515977443609,4.2343984962406,53.7363768601,17.9301306249647,31.0403005206767
"4.partTimeInc",4,FALSE,1,"partTimeInc",2.41749,1.61493079196217,101.53458,29.00988,2.41749,67.8270932624114,19.3791695035461,1.61493079196217,5.8442579001,2.60800146282758,3.90407904026064
"4.fullTimeInc",4,FALSE,2,"fullTimeInc",3.94367,2.69599090106007,165.63414,47.32404,3.94367,113.231617844523,32.3518908127208,2.69599090106007,15.5525330689,7.26836693859869,10.6320984367836
"4.lightOverTInc",4,TRUE,3,"lightOverTInc",5.26296,3.083,221.04432,63.15552,5.26296,129.486,36.996,3.083,27.6987479616,9.504889,16.22570568
"4.heavyOverTInc",4,FALSE,4,"heavyOverTInc",7.33051,5.07680855263158,307.88142,87.96612,7.33051,213.225959210526,60.9217026315789,5.07680855263158,53.7363768601,25.7739850800731,37.2155958631513
"5.partTimeInc",5,FALSE,1,"partTimeInc",2.41749,0.875524316109423,89.44713,29.00988,2.41749,32.3943996960486,10.5062917933131,0.875524316109423,5.8442579001,0.766542828098872,2.11657127895137
"5.fullTimeInc",5,TRUE,2,"fullTimeInc",3.94367,1.3,145.91579,47.32404,3.94367,48.1,15.6,1.3,15.5525330689,1.69,5.126771
"5.lightOverTInc",5,FALSE,3,"lightOverTInc",5.26296,1.94418633540373,194.72952,63.15552,5.26296,71.9348944099379,23.3302360248447,1.94418633540373,27.6987479616,3.77986050677057,10.2321749157764
"5.heavyOverTInc",5,FALSE,4,"heavyOverTInc",7.33051,2.75235902255639,271.22887,87.96612,7.33051,101.837283834586,33.0283082706767,2.75235902255639,53.7363768601,7.57548018904757,20.1761953384398
