"","age","gender","edulevel","workowner","workhour","marriage","district","aftertwage","beforetaxinc","taxed","taxRate","groupe","uprateBTInc10to14","afterT10to14"
"99",44,0,3,11,119,1,1,3500,3638,138,0.0379329301814184,"meadInc",8398.43837896627,7974
"100",40,1,2,11,119,1,1,3500,3638,138,0.0379329301814184,"meadInc",8398.43837896627,7974
"101",24,1,3,7,40,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"102",46,0,4,3,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"103",45,1,5,3,40,1,1,5000,5382,382,0.0709773318468971,"meadHighInc",12424.5176898286,11195
"104",27,0,6,2,30,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"105",29,1,5,7,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"106",50,1,3,11,50,1,1,5000,5382,382,0.0709773318468971,"meadHighInc",12424.5176898286,11195
"107",24,1,5,3,40,0,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"108",40,1,5,9,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"109",56,1,4,11,40,1,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"110",25,0,4,7,35,1,1,1100,1100,0,0,"lowInc",2539.3848864384,2539
"111",38,0,6,2,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"112",38,1,5,3,40,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"113",30,1,3,3,40,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"114",52,0,3,7,40,1,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"115",53,1,3,11,30,1,1,2400,2421,21,0.00867410161090459,"meadInc",5588.95528187942,5485
"116",34,1,3,77,20,1,1,1400,1400,0,0,"lowInc",3231.9444009216,3231
"117",55,1,3,2,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"118",38,1,4,11,60,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"119",33,0,3,11,60,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"120",47,1,3,3,40,1,1,2200,2210,10,0.00452488687782805,"meadInc",5101.85509002624,5046
"121",48,0,4,3,40,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"122",31,1,4,3,40,1,1,2200,2210,10,0.00452488687782805,"meadInc",5101.85509002624,5046
"123",30,0,5,3,40,1,1,2200,2210,10,0.00452488687782805,"meadInc",5101.85509002624,5046
"124",32,1,5,3,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"125",44,1,3,3,40,1,1,2200,2210,10,0.00452488687782805,"meadInc",5101.85509002624,5046
"126",52,1,2,7,40,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"127",37,1,3,9,40,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"128",40,0,6,2,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"129",42,1,6,2,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"130",30,1,6,2,40,1,1,6000,6558,558,0.0850869167429094,"meadHighInc",15139.3509866028,13235
"131",32,0,6,2,40,1,1,6000,6558,558,0.0850869167429094,"meadHighInc",15139.3509866028,13235
"132",52,0,5,2,35,1,1,4000,4205,205,0.0487514863258026,"meadInc",9707.37586133952,9021
"133",35,0,3,5,17,1,1,1400,1400,0,0,"lowInc",3231.9444009216,3231
"134",37,1,4,3,40,1,1,1400,1400,0,0,"lowInc",3231.9444009216,3231
"135",38,1,3,11,24,1,1,6000,6558,558,0.0850869167429094,"meadHighInc",15139.3509866028,13235
"136",57,1,1,77,50,1,1,1700,1700,0,0,"meadInc",3924.5039154048,3912
"139",28,0,3,11,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"140",58,1,3,10,50,1,1,4000,4205,205,0.0487514863258026,"meadInc",9707.37586133952,9021
"141",56,1,3,77,50,1,1,800,800,0,0,"lowInc",1846.8253719552,1846
"142",33,0,2,11,105,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"143",26,1,3,10,70,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"144",54,1,4,14,28,1,1,7000,7781,781,0.100372702737437,"meadHighInc",17962.6852739793,15352
"145",50,1,3,7,60,1,1,600,600,0,0,"lowInc",1385.1190289664,1385
"146",57,1,2,1,40,1,1,2200,2210,10,0.00452488687782805,"meadInc",5101.85509002624,5046
"147",30,1,4,10,45,1,1,800,800,0,0,"lowInc",1846.8253719552,1846
"148",29,0,3,11,56,1,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"149",22,1,5,7,40,0,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"150",44,1,1,11,40,1,1,8000,9031,1031,0.114162329753073,"meadHighInc",20848.3499176593,17516
"151",45,0,3,11,50,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"152",54,1,2,7,56,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"154",35,1,3,10,45,1,1,7000,7781,781,0.100372702737437,"meadHighInc",17962.6852739793,15352
"156",58,1,1,77,45,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"157",45,1,3,3,56,1,1,2200,2210,10,0.00452488687782805,"meadInc",5101.85509002624,5046
"158",24,1,4,7,42,0,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"159",50,1,3,3,56,1,1,2300,2315,15,0.00647948164146868,"meadInc",5344.25092009536,5265
"160",51,0,3,3,56,1,1,2300,2315,15,0.00647948164146868,"meadInc",5344.25092009536,5265
"161",55,1,6,3,49,1,1,7000,7781,781,0.100372702737437,"meadHighInc",17962.6852739793,15352
"163",54,0,4,7,70,0,1,1100,1100,0,0,"lowInc",2539.3848864384,2539
"164",41,0,3,7,40,1,1,500,500,0,0,"lowInc",1154.265857472,1154
"165",42,1,3,3,40,1,1,1600,1600,0,0,"meadInc",3693.6507439104,3688
"166",47,0,3,3,42,1,1,1600,1600,0,0,"meadInc",3693.6507439104,3688
"167",38,1,6,14,56,1,1,400,400,0,0,"lowInc",923.4126859776,923
"168",50,0,1,11,42,1,1,500,500,0,0,"lowInc",1154.265857472,1154
"173",26,1,3,7,56,1,1,2600,2638,38,0.0144048521607278,"meadInc",6089.90666402227,5936
"177",34,1,3,1,70,1,1,400,400,0,0,"lowInc",923.4126859776,923
"181",35,1,2,11,56,1,1,2600,2638,38,0.0144048521607278,"meadInc",6089.90666402227,5936
"183",34,1,3,11,56,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"185",32,1,2,77,50,0,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"187",47,1,1,6,50,1,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"195",47,1,4,77,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"196",25,1,3,77,40,1,1,1300,1300,0,0,"lowInc",3001.0912294272,3001
"201",21,0,3,-1,40,0,1,400,400,0,0,"lowInc",923.4126859776,923
"208",45,1,6,2,51,1,1,4000,4205,205,0.0487514863258026,"meadInc",9707.37586133952,9021
"209",40,0,6,2,40,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"210",47,1,6,2,35,1,1,5000,5382,382,0.0709773318468971,"meadHighInc",12424.5176898286,11195
"211",47,0,6,2,35,1,1,5000,5382,382,0.0709773318468971,"meadHighInc",12424.5176898286,11195
"212",39,1,6,2,40,1,1,2500,2527,27,0.0106846062524733,"meadInc",5833.65964366349,5705
"213",39,1,6,3,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"214",47,0,1,14,42,1,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"215",21,1,4,3,40,0,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"216",32,1,4,5,40,1,1,2500,2527,27,0.0106846062524733,"meadInc",5833.65964366349,5705
"217",27,0,6,12,35,1,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"218",22,1,4,11,48.5,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"219",24,0,3,7,56,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"221",41,0,3,7,48,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"222",48,1,3,11,40,1,1,800,800,0,0,"lowInc",1846.8253719552,1846
"224",31,0,5,3,40,1,1,800,800,0,0,"lowInc",1846.8253719552,1846
"225",31,1,6,1,50,1,1,1800,1800,0,0,"meadInc",4155.3570868992,4136
"226",21,1,3,2,45,0,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"227",23,1,5,7,40,0,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"228",47,1,3,77,50,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"229",34,1,2,11,40,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"230",35,0,3,7,60,1,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"231",22,1,3,7,56,0,1,500,500,0,0,"lowInc",1154.265857472,1154
"232",22,1,3,7,56,0,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"233",23,0,6,7,40,0,1,4000,4205,205,0.0487514863258026,"meadInc",9707.37586133952,9021
"234",47,1,3,3,40,1,1,2500,2527,27,0.0106846062524733,"meadInc",5833.65964366349,5705
"237",23,1,1,7,60,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"238",41,1,2,77,70,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"239",24,0,5,8,48,0,1,1180,1180,0,0,"lowInc",2724.06742363392,2724
"240",55,1,3,7,66.5,1,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"242",57,1,2,2,84,1,1,1700,1700,0,0,"meadInc",3924.5039154048,3912
"243",32,1,3,2,60,1,1,1400,1400,0,0,"lowInc",3231.9444009216,3231
"244",33,0,4,7,70,1,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"245",50,1,2,4,56,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"246",25,1,3,7,56,1,1,1400,1400,0,0,"lowInc",3231.9444009216,3231
"247",22,0,3,4,56,0,1,600,600,0,0,"lowInc",1385.1190289664,1385
"248",21,0,3,3,56,1,1,1100,1100,0,0,"lowInc",2539.3848864384,2539
"249",30,1,3,3,56,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"250",29,0,5,2,40,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"251",37,0,2,7,56,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"253",42,1,3,7,56,1,1,1300,1300,0,0,"lowInc",3001.0912294272,3001
"254",41,0,3,7,56,1,1,900,900,0,0,"lowInc",2077.6785434496,2077
"255",37,0,5,7,40,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"256",40,1,4,3,40,1,1,2400,2421,21,0.00867410161090459,"meadInc",5588.95528187942,5485
"257",32,1,3,11,49,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"258",41,1,2,11,70,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"259",35,1,4,11,70,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"260",42,1,3,11,42,1,1,8000,9031,1031,0.114162329753073,"meadHighInc",20848.3499176593,17516
"261",27,1,3,11,84,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"262",28,0,3,7,56,1,1,800,800,0,0,"lowInc",1846.8253719552,1846
"263",22,1,3,7,40,0,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"264",46,1,1,11,70,1,1,4000,4205,205,0.0487514863258026,"meadInc",9707.37586133952,9021
"265",18,1,3,7,56,0,1,1900,1900,0,0,"meadInc",4386.2102583936,4360
"266",51,1,3,7,56,1,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"267",39,1,5,3,40,1,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"268",35,0,5,5,40,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"269",35,1,6,1,40,1,1,2700,2750,50,0.0181818181818182,"meadInc",6348.462216096,6169
"270",46,1,3,3,35,1,1,2300,2315,15,0.00647948164146868,"meadInc",5344.25092009536,5265
"271",31,1,4,3,40,1,1,1600,1600,0,0,"meadInc",3693.6507439104,3688
"272",54,1,1,3,50,1,1,1700,1700,0,0,"meadInc",3924.5039154048,3912
"273",29,0,5,1,40,1,1,1100,1100,0,0,"lowInc",2539.3848864384,2539
"274",27,1,4,9,56,0,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"275",32,1,6,2,70,1,1,2300,2315,15,0.00647948164146868,"meadInc",5344.25092009536,5265
"276",29,1,4,7,56,1,1,1700,1700,0,0,"meadInc",3924.5039154048,3912
"277",36,1,1,7,56,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"278",23,1,4,3,56,0,1,1800,1800,0,0,"meadInc",4155.3570868992,4136
"280",43,1,3,11,63,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"281",22,1,3,7,4,0,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"282",34,1,3,11,70,1,1,3500,3638,138,0.0379329301814184,"meadInc",8398.43837896627,7974
"283",38,1,3,7,50,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"284",25,0,5,2,66,0,1,900,900,0,0,"lowInc",2077.6785434496,2077
"285",29,0,3,7,2,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"286",24,0,3,7,56,0,1,800,800,0,0,"lowInc",1846.8253719552,1846
"287",22,0,3,7,56,0,1,800,800,0,0,"lowInc",1846.8253719552,1846
"288",38,1,3,11,56,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"289",36,0,1,11,70,1,1,3500,3638,138,0.0379329301814184,"meadInc",8398.43837896627,7974
"290",54,1,3,3,56,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"291",47,1,3,1,35,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"292",57,1,2,4,56,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"293",27,0,6,3,84,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"294",27,1,5,3,56,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"295",41,0,2,11,70,1,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"296",40,1,2,11,70,1,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"297",17,0,3,11,56,0,1,800,800,0,0,"lowInc",1846.8253719552,1846
"298",40,1,1,11,56,1,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"299",41,0,3,1,56,1,1,1400,1400,0,0,"lowInc",3231.9444009216,3231
"300",23,0,5,3,30,0,1,1300,1300,0,0,"lowInc",3001.0912294272,3001
"301",38,1,4,11,56,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"302",38,1,4,3,56,1,1,1400,1400,0,0,"lowInc",3231.9444009216,3231
"303",32,0,3,14,56,1,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"304",32,1,4,5,56,1,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"305",44,1,3,11,56,1,1,1900,1900,0,0,"meadInc",4386.2102583936,4360
"306",30,1,7,2,56,0,1,2500,2527,27,0.0106846062524733,"meadInc",5833.65964366349,5705
"307",56,1,3,3,40,1,1,2600,2638,38,0.0144048521607278,"meadInc",6089.90666402227,5936
"308",54,1,3,2,30,1,1,4000,4205,205,0.0487514863258026,"meadInc",9707.37586133952,9021
"309",40,0,6,1,40,1,1,2600,2638,38,0.0144048521607278,"meadInc",6089.90666402227,5936
"310",30,1,6,1,40,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"311",52,1,4,2,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"312",25,0,6,2,40,0,1,2500,2527,27,0.0106846062524733,"meadInc",5833.65964366349,5705
"313",28,1,4,7,50,1,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"314",28,0,4,3,40,1,1,2600,2638,38,0.0144048521607278,"meadInc",6089.90666402227,5936
"315",43,1,4,2,37.5,1,1,2100,2105,5,0.00237529691211401,"meadInc",4859.45925995712,4819
"316",28,0,6,2,15,0,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"317",47,1,2,7,50,1,1,2500,2527,27,0.0106846062524733,"meadInc",5833.65964366349,5705
"318",21,1,2,77,40,0,1,500,500,0,0,"lowInc",1154.265857472,1154
"319",55,1,4,7,40,1,1,2500,2527,27,0.0106846062524733,"meadInc",5833.65964366349,5705
"320",32,1,3,5,50,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"321",34,0,6,1,40,1,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"322",22,1,4,5,40,1,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"323",29,1,2,77,45,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"324",53,1,4,5,42,1,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"325",42,1,3,10,52,1,1,1600,1600,0,0,"meadInc",3693.6507439104,3688
"326",40,0,3,7,50,1,1,800,800,0,0,"lowInc",1846.8253719552,1846
"327",20,1,3,12,50,0,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"328",26,1,2,7,56,1,1,800,800,0,0,"lowInc",1846.8253719552,1846
"330",21,0,3,11,50,0,1,600,600,0,0,"lowInc",1385.1190289664,1385
"331",40,0,3,7,56,1,1,1300,1300,0,0,"lowInc",3001.0912294272,3001
"332",19,0,4,7,84,0,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"333",56,1,2,12,63,1,1,600,600,0,0,"lowInc",1385.1190289664,1385
"334",25,1,3,12,63,0,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"335",47,0,4,2,40,1,1,500,500,0,0,"lowInc",1154.265857472,1154
"336",49,1,3,12,56,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"337",48,0,3,12,70,1,1,700,700,0,0,"lowInc",1615.9722004608,1615
"338",24,1,3,12,56,1,1,1400,1400,0,0,"lowInc",3231.9444009216,3231
"339",31,1,3,2,40,1,1,700,700,0,0,"lowInc",1615.9722004608,1615
"340",47,1,4,12,66,1,1,1300,1300,0,0,"lowInc",3001.0912294272,3001
"342",30,0,3,7,56,1,1,2600,2638,38,0.0144048521607278,"meadInc",6089.90666402227,5936
"343",41,1,4,3,40,1,1,2600,2638,38,0.0144048521607278,"meadInc",6089.90666402227,5936
"344",26,1,3,7,21,1,1,2400,2421,21,0.00867410161090459,"meadInc",5588.95528187942,5485
"346",40,1,2,77,28,1,1,4000,4205,205,0.0487514863258026,"meadInc",9707.37586133952,9021
"347",40,0,2,7,40,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"348",56,1,2,77,63,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"349",40,1,3,11,70,1,1,4000,4205,205,0.0487514863258026,"meadInc",9707.37586133952,9021
"350",30,0,3,7,40,1,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"351",32,0,3,11,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"352",32,1,3,11,42.5,1,1,1800,1800,0,0,"meadInc",4155.3570868992,4136
"353",45,0,2,7,40,1,1,1300,1300,0,0,"lowInc",3001.0912294272,3001
"354",24,1,3,7,63,1,1,1800,1800,0,0,"meadInc",4155.3570868992,4136
"355",21,1,2,11,45,0,1,1800,1800,0,0,"meadInc",4155.3570868992,4136
"356",37,1,2,10,50,1,1,1600,1600,0,0,"meadInc",3693.6507439104,3688
"357",37,0,2,10,40,1,1,900,900,0,0,"lowInc",2077.6785434496,2077
"358",41,1,3,11,63,1,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"359",25,1,2,10,15,1,1,1500,1500,0,0,"lowInc",3462.797572416,3462
