"","age","gender","edulevel","workowner","workhour","marriage","district","aftertwage","beforetaxinc","taxed","taxRate","groupe","uprateBTInc10to14","afterT10to14"
"1",38,1,3,7,35,0,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"2",39,1,4,11,70,1,1,10000,11531,1531,0.132772526233631,"meadHighInc",26619.6792050193,21845
"3",48,1,4,3,40,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"4",50,1,4,2,51.5,1,1,2400,2421,21,0.00867410161090459,"meadInc",5588.95528187942,5485
"5",24,0,4,7,37.5,0,1,1600,1600,0,0,"meadInc",3693.6507439104,3688
"6",48,1,3,17,30,1,1,900,900,0,0,"lowInc",2077.6785434496,2077
"7",20,1,3,7,30,0,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"8",53,1,4,17,30,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"9",26,1,6,7,55,0,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"10",58,1,2,77,40,1,1,1700,1700,0,0,"meadInc",3924.5039154048,3912
"11",42,1,3,4,40,1,1,2700,2750,50,0.0181818181818182,"meadInc",6348.462216096,6169
"12",45,1,4,2,56,1,1,2400,2421,21,0.00867410161090459,"meadInc",5588.95528187942,5485
"13",42,1,4,8,35,1,1,1200,1200,0,0,"lowInc",2770.2380579328,2770
"14",36,1,4,2,50,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"15",34,0,4,4,40,1,1,1700,1700,0,0,"meadInc",3924.5039154048,3912
"16",34,1,3,11,49,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"17",33,0,5,7,35,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"18",37,1,6,7,40,1,1,5000,5382,382,0.0709773318468971,"meadHighInc",12424.5176898286,11195
"19",45,1,4,3,45,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"20",42,0,4,3,45,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"22",37,0,4,3,35,1,1,1300,1300,0,0,"lowInc",3001.0912294272,3001
"23",19,1,3,1,30,0,1,2300,2315,15,0.00647948164146868,"meadInc",5344.25092009536,5265
"24",42,0,4,7,50,1,1,1300,1300,0,0,"lowInc",3001.0912294272,3001
"25",45,1,5,3,40,1,1,2200,2210,10,0.00452488687782805,"meadInc",5101.85509002624,5046
"26",27,1,5,7,40,0,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"27",50,1,4,5,32.5,1,1,1400,1400,0,0,"lowInc",3231.9444009216,3231
"29",31,0,5,9,45,1,1,7000,7781,781,0.100372702737437,"meadHighInc",17962.6852739793,15352
"30",54,1,5,7,24,1,1,5000,5382,382,0.0709773318468971,"meadHighInc",12424.5176898286,11195
"31",29,0,4,5,65,1,1,1900,1900,0,0,"meadInc",4386.2102583936,4360
"32",30,1,4,7,40,1,1,1300,1300,0,0,"lowInc",3001.0912294272,3001
"33",50,1,5,77,35,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"34",23,0,4,9,35,0,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"36",24,1,4,7,37,0,1,1500,1500,0,0,"lowInc",3462.797572416,3462
"37",24,1,6,6,40,0,1,3500,3638,138,0.0379329301814184,"meadInc",8398.43837896627,7974
"38",30,0,5,3,44,0,1,7000,7781,781,0.100372702737437,"meadHighInc",17962.6852739793,15352
"39",51,1,4,7,42,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"40",30,1,4,77,80,1,1,4000,4205,205,0.0487514863258026,"meadInc",9707.37586133952,9021
"41",24,0,6,2,40,0,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"42",24,0,6,9,40,0,1,8000,9031,1031,0.114162329753073,"meadHighInc",20848.3499176593,17516
"44",41,1,4,7,49,0,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"46",40,0,4,5,40,1,1,1900,1900,0,0,"meadInc",4386.2102583936,4360
"47",41,1,4,77,60,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"48",36,0,4,5,35,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"51",29,1,4,7,46,0,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"53",32,1,4,3,60,1,1,1800,1800,0,0,"meadInc",4155.3570868992,4136
"55",23,1,4,5,40,0,1,4000,4205,205,0.0487514863258026,"meadInc",9707.37586133952,9021
"56",32,1,3,7,40,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"57",29,0,3,7,40,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"58",41,1,3,11,63,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"59",39,0,3,11,49,1,1,1000,1000,0,0,"lowInc",2308.531714944,2308
"60",50,0,4,1,30,1,1,1100,1100,0,0,"lowInc",2539.3848864384,2539
"61",28,1,5,2,40,1,1,7000,7781,781,0.100372702737437,"meadHighInc",17962.6852739793,15352
"62",25,0,5,9,40,1,1,5000,5382,382,0.0709773318468971,"meadHighInc",12424.5176898286,11195
"65",23,1,5,9,60,0,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"66",27,1,5,77,35,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"67",26,0,4,7,40,1,1,2100,2105,5,0.00237529691211401,"meadInc",4859.45925995712,4819
"68",56,1,4,3,40,1,1,5000,5382,382,0.0709773318468971,"meadHighInc",12424.5176898286,11195
"70",26,1,6,7,45,0,1,2600,2638,38,0.0144048521607278,"meadInc",6089.90666402227,5936
"72",30,1,6,9,40,1,1,2500,2527,27,0.0106846062524733,"meadInc",5833.65964366349,5705
"73",26,0,6,5,40,1,1,6000,6558,558,0.0850869167429094,"meadHighInc",15139.3509866028,13235
"74",28,1,6,5,40,0,1,3500,3638,138,0.0379329301814184,"meadInc",8398.43837896627,7974
"75",23,1,5,7,50,0,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"76",22,1,4,11,40,0,1,400,400,0,0,"lowInc",923.4126859776,923
"77",28,0,7,9,40,0,1,7000,7781,781,0.100372702737437,"meadHighInc",17962.6852739793,15352
"78",46,1,3,3,56,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"79",25,0,7,2,42,1,1,8000,9031,1031,0.114162329753073,"meadHighInc",20848.3499176593,17516
"80",39,1,6,8,40,1,1,800,800,0,0,"lowInc",1846.8253719552,1846
"81",31,1,7,1,40,0,1,7000,7781,781,0.100372702737437,"meadHighInc",17962.6852739793,15352
"82",52,1,3,3,40,1,1,1300,1300,0,0,"lowInc",3001.0912294272,3001
"84",30,0,5,5,45,1,1,2500,2527,27,0.0106846062524733,"meadInc",5833.65964366349,5705
"85",37,1,6,7,40,0,1,6000,6558,558,0.0850869167429094,"meadHighInc",15139.3509866028,13235
"86",38,0,4,5,35,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"87",40,1,6,5,40,1,1,6000,6558,558,0.0850869167429094,"meadHighInc",15139.3509866028,13235
"89",35,1,3,11,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"90",42,0,3,11,40,0,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"91",33,0,4,3,50,1,1,1600,1600,0,0,"meadInc",3693.6507439104,3688
"92",46,1,6,9,40,1,1,6000,6558,558,0.0850869167429094,"meadHighInc",15139.3509866028,13235
"93",45,0,4,3,40,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"94",46,1,5,3,40,1,1,3000,3083,83,0.0269218293869608,"meadInc",7117.20327717235,6861
"95",37,0,6,3,40,1,1,2000,2000,0,0,"meadInc",4617.063429888,4584
"96",30,1,5,3,40,1,1,2400,2421,21,0.00867410161090459,"meadInc",5588.95528187942,5485
"97",33,0,6,1,40,1,1,2700,2750,50,0.0181818181818182,"meadInc",6348.462216096,6169
"98",32,1,5,7,40,1,1,2500,2527,27,0.0106846062524733,"meadInc",5833.65964366349,5705
