"row.names","ID","choice","mode","modeLable","wh","wage","whCrossAge","whCrossEduY","whCrossMarriage","wageCrossAge","wageCrossEduY","wageCrossMarriage","whSquare","ySquare","whCrossWage"
"8.partTimeInc",8,FALSE,1,"partTimeInc",2.41749,0.258937728972662,58.01976,2.41749,2.41749,6.21450549534389,0.258937728972662,0.258937728972662,5.8442579001,0.0670487474855198,0.625979370414121
"8.fullTimeInc",8,FALSE,2,"fullTimeInc",3.94367,0.560093400716015,94.64808,3.94367,3.94367,13.4422416171844,0.560093400716015,0.560093400716015,15.5525330689,0.31370461752563,2.20882354160173
"8.lightOverTInc",8,FALSE,3,"lightOverTInc",5.26296,0.735892724367892,126.31104,5.26296,5.26296,17.6614253848294,0.735892724367892,0.735892724367892,27.6987479616,0.541538101777599,3.87297397263924
"8.heavyOverTInc",8,TRUE,4,"heavyOverTInc",7.33051,1,175.93224,7.33051,7.33051,24,1,1,53.7363768601,1,7.33051
"9.partTimeInc",9,FALSE,1,"partTimeInc",2.41749,0.215781440810552,101.53458,2.41749,2.41749,9.06282051404317,0.215781440810552,0.215781440810552,5.8442579001,0.0465616301982777,0.521649475345101
"9.fullTimeInc",9,FALSE,2,"fullTimeInc",3.94367,0.466744500596679,165.63414,3.94367,3.94367,19.6032690250605,0.466744500596679,0.466744500596679,15.5525330689,0.217850428837243,1.84068628466811
"9.lightOverTInc",9,FALSE,3,"lightOverTInc",5.26296,0.613243936973244,221.04432,5.26296,5.26296,25.7562453528762,0.613243936973244,0.613243936973244,27.6987479616,0.376068126234444,3.2274783105327
"9.heavyOverTInc",9,TRUE,4,"heavyOverTInc",7.33051,1,307.88142,7.33051,7.33051,42,1,1,53.7363768601,1,7.33051
"10.partTimeInc",10,FALSE,1,"partTimeInc",2.41749,0.845863247977363,103.95207,2.41749,2.41749,36.3721196630266,0.845863247977363,0.845863247977363,5.8442579001,0.715484634278813,2.04486594335279
"10.fullTimeInc",10,FALSE,2,"fullTimeInc",3.94367,1.82963844233898,169.57781,3.94367,3.94367,78.6744530205762,1.82963844233898,1.82963844233898,15.5525330689,3.34757682968462,7.21549023589897
"10.lightOverTInc",10,TRUE,3,"lightOverTInc",5.26296,2.8,226.30728,5.26296,5.26296,120.4,2.8,2.8,27.6987479616,7.84,14.736288
"10.heavyOverTInc",10,FALSE,4,"heavyOverTInc",7.33051,3.39415764139591,315.21193,7.33051,7.33051,145.948778580024,3.39415764139591,3.39415764139591,53.7363768601,11.5203060946462,24.8809065318291
"11.partTimeInc",11,FALSE,1,"partTimeInc",2.41749,0.323672161215828,65.27223,2.41749,2.41749,8.73914835282734,0.323672161215828,0.323672161215828,5.8442579001,0.104763667946125,0.782474213017651
"11.fullTimeInc",11,FALSE,2,"fullTimeInc",3.94367,0.700116750895019,106.47909,3.94367,3.94367,18.9031522741655,0.700116750895019,0.700116750895019,15.5525330689,0.490163464883798,2.76102942700216
"11.lightOverTInc",11,TRUE,3,"lightOverTInc",5.26296,1,142.09992,5.26296,5.26296,27,1,1,27.6987479616,1,5.26296
"11.heavyOverTInc",11,FALSE,4,"heavyOverTInc",7.33051,1.29878481175864,197.92377,7.33051,7.33051,35.0671899174832,1.29878481175864,1.29878481175864,53.7363768601,1.68684198725492,9.52075505044482
"12.partTimeInc",12,FALSE,1,"partTimeInc",2.41749,0.453141025702159,53.18478,38.67984,2.41749,9.96910256544749,7.25025641123454,0.453141025702159,5.8442579001,0.205336789174404,1.09546389822471
"12.fullTimeInc",12,TRUE,2,"fullTimeInc",3.94367,1,86.76074,63.09872,3.94367,22,16,1,15.5525330689,1,3.94367
"12.lightOverTInc",12,FALSE,3,"lightOverTInc",5.26296,1.28781226764381,115.78512,84.20736,5.26296,28.3318698881639,20.604996282301,1.28781226764381,27.6987479616,1.6584604366939,6.77770445211867
"12.heavyOverTInc",12,FALSE,4,"heavyOverTInc",7.33051,1.81829873646209,161.27122,117.28816,7.33051,40.0025722021661,29.0927797833935,1.81829873646209,53.7363768601,3.30621029501965,13.3290570706227
"13.partTimeInc",13,FALSE,1,"partTimeInc",2.41749,0.517875457945324,67.68972,2.41749,0,14.5005128224691,0.517875457945324,0,5.8442579001,0.268194989942079,1.25195874082824
"13.fullTimeInc",13,TRUE,2,"fullTimeInc",3.94367,1,110.42276,3.94367,0,28,1,0,15.5525330689,1,3.94367
"13.lightOverTInc",13,FALSE,3,"lightOverTInc",5.26296,1.47178544873578,147.36288,5.26296,0,41.209992564602,1.47178544873578,0,27.6987479616,2.16615240711039,7.74594794527848
"13.heavyOverTInc",13,FALSE,4,"heavyOverTInc",7.33051,2.07805569881382,205.25428,7.33051,0,58.185559566787,2.07805569881382,0,53.7363768601,4.3183154873726,15.2332080807117
"14.partTimeInc",14,FALSE,1,"partTimeInc",2.41749,0.453141025702159,62.85474,29.00988,2.41749,11.7816666682561,5.4376923084259,0.453141025702159,5.8442579001,0.205336789174404,1.09546389822471
"14.fullTimeInc",14,TRUE,2,"fullTimeInc",3.94367,1,102.53542,47.32404,3.94367,26,12,1,15.5525330689,1,3.94367
"14.lightOverTInc",14,FALSE,3,"lightOverTInc",5.26296,1.28781226764381,136.83696,63.15552,5.26296,33.4831189587391,15.4537472117257,1.28781226764381,27.6987479616,1.6584604366939,6.77770445211867
"14.heavyOverTInc",14,FALSE,4,"heavyOverTInc",7.33051,1.81829873646209,190.59326,87.96612,7.33051,47.2757671480144,21.8195848375451,1.81829873646209,53.7363768601,3.30621029501965,13.3290570706227
"15.partTimeInc",15,FALSE,1,"partTimeInc",2.41749,0.323672161215828,99.11709,2.41749,2.41749,13.2705586098489,0.323672161215828,0.323672161215828,5.8442579001,0.104763667946125,0.782474213017651
"15.fullTimeInc",15,FALSE,2,"fullTimeInc",3.94367,0.700116750895019,161.69047,3.94367,3.94367,28.7047867866958,0.700116750895019,0.700116750895019,15.5525330689,0.490163464883798,2.76102942700216
"15.lightOverTInc",15,TRUE,3,"lightOverTInc",5.26296,1,215.78136,5.26296,5.26296,41,1,1,27.6987479616,1,5.26296
"15.heavyOverTInc",15,FALSE,4,"heavyOverTInc",7.33051,1.29878481175864,300.55091,7.33051,7.33051,53.2501772821042,1.29878481175864,1.29878481175864,53.7363768601,1.68684198725492,9.52075505044482
"16.partTimeInc",16,TRUE,1,"partTimeInc",2.41749,1,67.68972,29.00988,2.41749,28,12,1,5.8442579001,1,2.41749
"16.fullTimeInc",16,FALSE,2,"fullTimeInc",3.94367,1.3068846016707,110.42276,47.32404,3.94367,36.5927688467796,15.6826152200484,1.3068846016707,15.5525330689,1.70794736208399,5.1539215970707
"16.lightOverTInc",16,FALSE,3,"lightOverTInc",5.26296,1.71708302352508,147.36288,63.15552,5.26296,48.0783246587023,20.604996282301,1.71708302352508,27.6987479616,2.94837410967804,9.03693926949157
"16.heavyOverTInc",16,FALSE,4,"heavyOverTInc",7.33051,2.42439831528279,205.25428,87.96612,7.33051,67.8831528279182,29.0927797833935,2.42439831528279,53.7363768601,5.87770719114604,17.7720760941637
"17.partTimeInc",17,FALSE,1,"partTimeInc",2.41749,0.258937728972662,106.36956,38.67984,2.41749,11.3932600747971,4.14300366356259,0.258937728972662,5.8442579001,0.0670487474855198,0.625979370414121
"17.fullTimeInc",17,FALSE,2,"fullTimeInc",3.94367,0.560093400716015,173.52148,63.09872,3.94367,24.6441096315047,8.96149441145624,0.560093400716015,15.5525330689,0.31370461752563,2.20882354160173
"17.lightOverTInc",17,FALSE,3,"lightOverTInc",5.26296,0.735892724367892,231.57024,84.20736,5.26296,32.3792798721873,11.7742835898863,0.735892724367892,27.6987479616,0.541538101777599,3.87297397263924
"17.heavyOverTInc",17,TRUE,4,"heavyOverTInc",7.33051,1,322.54244,117.28816,7.33051,44,16,1,53.7363768601,1,7.33051
"18.partTimeInc",18,TRUE,1,"partTimeInc",2.41749,1,111.20454,38.67984,2.41749,46,16,1,5.8442579001,1,2.41749
"18.fullTimeInc",18,FALSE,2,"fullTimeInc",3.94367,2.80046700358008,181.40882,63.09872,3.94367,128.821482164683,44.8074720572812,2.80046700358008,15.5525330689,7.84261543814076,11.0441177080086
"18.lightOverTInc",18,FALSE,3,"lightOverTInc",5.26296,3.67946362183946,242.09616,84.20736,5.26296,169.255326604615,58.8714179494314,3.67946362183946,27.6987479616,13.53845254444,19.3648698631962
"18.heavyOverTInc",18,FALSE,4,"heavyOverTInc",7.33051,5.19513924703455,337.20346,117.28816,7.33051,238.976405363589,83.1222279525529,5.19513924703455,53.7363768601,26.9894717960788,38.0830202017793
"19.partTimeInc",19,TRUE,1,"partTimeInc",2.41749,1,74.94219,2.41749,2.41749,31,1,1,5.8442579001,1,2.41749
"19.fullTimeInc",19,FALSE,2,"fullTimeInc",3.94367,1.96032690250605,122.25377,3.94367,3.94367,60.7701339776876,1.96032690250605,1.96032690250605,15.5525330689,3.84288156468897,7.73088239560604
"19.lightOverTInc",19,FALSE,3,"lightOverTInc",5.26296,2.57562453528762,163.15176,5.26296,5.26296,79.8443605939163,2.57562453528762,2.57562453528762,27.6987479616,6.63384174677558,13.5554089042373
"19.heavyOverTInc",19,FALSE,4,"heavyOverTInc",7.33051,3.63659747292419,227.24581,7.33051,7.33051,112.73452166065,3.63659747292419,3.63659747292419,53.7363768601,13.2248411800786,26.6581141412455
"20.partTimeInc",20,TRUE,1,"partTimeInc",2.41749,1,123.29199,2.41749,2.41749,51,1,1,5.8442579001,1,2.41749
"20.fullTimeInc",20,FALSE,2,"fullTimeInc",3.94367,1.45209400185634,201.12717,3.94367,3.94367,74.0567940946731,1.45209400185634,1.45209400185634,15.5525330689,2.10857699022715,5.72657955230077
"20.lightOverTInc",20,FALSE,3,"lightOverTInc",5.26296,1.90787002613898,268.41096,5.26296,5.26296,97.301371333088,1.90787002613898,1.90787002613898,27.6987479616,3.63996803663955,10.0410436327684
"20.heavyOverTInc",20,FALSE,4,"heavyOverTInc",7.33051,2.69377590586977,373.85601,7.33051,7.33051,137.382571199358,2.69377590586977,2.69377590586977,53.7363768601,7.25642863104449,19.7467512157374
"21.partTimeInc",21,FALSE,1,"partTimeInc",2.41749,0.323672161215828,84.61215,2.41749,2.41749,11.328525642554,0.323672161215828,0.323672161215828,5.8442579001,0.104763667946125,0.782474213017651
"21.fullTimeInc",21,FALSE,2,"fullTimeInc",3.94367,0.700116750895019,138.02845,3.94367,3.94367,24.5040862813257,0.700116750895019,0.700116750895019,15.5525330689,0.490163464883798,2.76102942700216
"21.lightOverTInc",21,TRUE,3,"lightOverTInc",5.26296,1,184.2036,5.26296,5.26296,35,1,1,27.6987479616,1,5.26296
"21.heavyOverTInc",21,FALSE,4,"heavyOverTInc",7.33051,1.29878481175864,256.56785,7.33051,7.33051,45.4574684115523,1.29878481175864,1.29878481175864,53.7363768601,1.68684198725492,9.52075505044482
"22.partTimeInc",22,FALSE,1,"partTimeInc",2.41749,0.453141025702159,60.43725,29.00988,2.41749,11.328525642554,5.4376923084259,0.453141025702159,5.8442579001,0.205336789174404,1.09546389822471
"22.fullTimeInc",22,TRUE,2,"fullTimeInc",3.94367,1,98.59175,47.32404,3.94367,25,12,1,15.5525330689,1,3.94367
"22.lightOverTInc",22,FALSE,3,"lightOverTInc",5.26296,1.28781226764381,131.574,63.15552,5.26296,32.1953066910953,15.4537472117257,1.28781226764381,27.6987479616,1.6584604366939,6.77770445211867
"22.heavyOverTInc",22,FALSE,4,"heavyOverTInc",7.33051,1.81829873646209,183.26275,87.96612,7.33051,45.4574684115523,21.8195848375451,1.81829873646209,53.7363768601,3.30621029501965,13.3290570706227
"23.partTimeInc",23,FALSE,1,"partTimeInc",2.41749,0.453141025702159,77.35968,29.00988,2.41749,14.5005128224691,5.4376923084259,0.453141025702159,5.8442579001,0.205336789174404,1.09546389822471
"23.fullTimeInc",23,TRUE,2,"fullTimeInc",3.94367,1,126.19744,47.32404,3.94367,32,12,1,15.5525330689,1,3.94367
"23.lightOverTInc",23,FALSE,3,"lightOverTInc",5.26296,1.28781226764381,168.41472,63.15552,5.26296,41.209992564602,15.4537472117257,1.28781226764381,27.6987479616,1.6584604366939,6.77770445211867
"23.heavyOverTInc",23,FALSE,4,"heavyOverTInc",7.33051,1.81829873646209,234.57632,87.96612,7.33051,58.185559566787,21.8195848375451,1.81829873646209,53.7363768601,3.30621029501965,13.3290570706227
"24.partTimeInc",24,FALSE,1,"partTimeInc",2.41749,0.302094017134772,79.77717,38.67984,2.41749,9.96910256544749,4.83350427415636,0.302094017134772,5.8442579001,0.0912607951886242,0.730309265483141
"24.fullTimeInc",24,FALSE,2,"fullTimeInc",3.94367,0.653442300835351,130.14111,63.09872,3.94367,21.5635959275666,10.4550768133656,0.653442300835351,15.5525330689,0.426986840520997,2.57696079853535
