"row.names","ID","choice","mode","modeLable","wh","wage","whCrossAge","whCrossEduY","whCrossMarriage","wageCrossAge","wageCrossEduY","wageCrossMarriage","whSquare","ySquare","whCrossWage"
"1.partTimeInc",1,FALSE,1,"partTimeInc",2.41749,1.38142216527867,91.86462,2.41749,0,52.4940422805894,1.38142216527867,0,5.8442579001,1.9083271987232,3.33957427033953
"1.fullTimeInc",1,TRUE,2,"fullTimeInc",3.94367,2,149.85946,3.94367,0,76,2,0,15.5525330689,4,7.88734
"1.lightOverTInc",1,FALSE,3,"lightOverTInc",5.26296,3.00740853195689,199.99248,5.26296,0,114.281524214362,3.00740853195689,0,27.6987479616,9.04450607808707,15.8278708073478
"1.heavyOverTInc",1,FALSE,4,"heavyOverTInc",7.33051,4.18886391342049,278.55938,7.33051,0,159.176828709979,4.18886391342049,0,53.7363768601,17.5465808851565,30.7065088059681
"2.partTimeInc",2,FALSE,1,"partTimeInc",2.41749,3.98229474695708,94.28211,29.00988,2.41749,155.309495131326,47.7875369634849,3.98229474695708,5.8442579001,15.8586714516419,9.62715772782127
"2.fullTimeInc",2,FALSE,2,"fullTimeInc",3.94367,6.49634399632522,153.80313,47.32404,3.94367,253.357415856683,77.9561279559026,6.49634399632522,15.5525330689,42.2024853185907,25.6194369279879
"2.lightOverTInc",2,FALSE,3,"lightOverTInc",5.26296,8.66960694549871,205.25544,63.15552,5.26296,338.11467087445,104.035283345985,8.66960694549871,27.6987479616,75.1620845894395,45.6277945698819
"2.heavyOverTInc",2,TRUE,4,"heavyOverTInc",7.33051,11.531,285.88989,87.96612,7.33051,449.709,138.372,11.531,53.7363768601,132.963961,84.52811081
"3.partTimeInc",3,FALSE,1,"partTimeInc",2.41749,0.604372197309417,116.03952,29.00988,2.41749,29.009865470852,7.25246636771301,0.604372197309417,5.8442579001,0.365265752880613,1.46106374327354
"3.fullTimeInc",3,TRUE,2,"fullTimeInc",3.94367,1,189.29616,47.32404,3.94367,48,12,1,15.5525330689,1,3.94367
"3.lightOverTInc",3,FALSE,3,"lightOverTInc",5.26296,1.31574123273114,252.62208,63.15552,5.26296,63.1555791710946,15.7888947927736,1.31574123273114,27.6987479616,1.73117499150885,6.92469347821467
"3.heavyOverTInc",3,FALSE,4,"heavyOverTInc",7.33051,1.83262796212147,351.86448,87.96612,7.33051,87.9661421818304,21.9915355454576,1.83262796212147,53.7363768601,3.35852524754948,13.434097602611
"4.partTimeInc",4,FALSE,1,"partTimeInc",2.41749,1.13645443859114,120.8745,29.00988,2.41749,56.8227219295572,13.6374532630937,1.13645443859114,5.8442579001,1.29152869099351,2.74736724074971
"4.fullTimeInc",4,FALSE,2,"fullTimeInc",3.94367,1.85390570973683,197.1835,47.32404,3.94367,92.6952854868417,22.246868516842,1.85390570973683,15.5525330689,3.43696638059483,7.31119233031786
